iter	MultiClass	Accuracy
0	2.202816026	0.3092
1	2.130996366	0.3244666667
2	2.066239659	0.351
3	2.020304431	0.3547333333
4	1.983652488	0.3551333333
5	1.950451323	0.3653333333
6	1.920132141	0.3691333333
7	1.894845112	0.3698666667
8	1.873618341	0.3725333333
9	1.854912686	0.3761333333
10	1.83686143	0.3846666667
11	1.823913756	0.3846
12	1.811853747	0.3858
13	1.79984966	0.3886
14	1.787855337	0.3917333333
15	1.777804961	0.3918666667
16	1.766513333	0.3947333333
17	1.757224999	0.3961333333
18	1.749509601	0.3969333333
19	1.7407546	0.4006666667
20	1.735718128	0.4018666667
21	1.729933949	0.4036
22	1.726420427	0.4046666667
23	1.719524026	0.4063333333
24	1.713673989	0.4088
25	1.706985551	0.4109333333
26	1.702095466	0.4123333333
27	1.696696619	0.4134
28	1.693509347	0.4134
29	1.688187725	0.4154666667
30	1.684352141	0.4160666667
31	1.678613676	0.4176666667
32	1.676304731	0.4179333333
33	1.672562595	0.4184
34	1.669935825	0.4196
35	1.666479359	0.4206
36	1.66136411	0.4230666667
37	1.657632682	0.4244
38	1.655819629	0.4242
39	1.652238709	0.4264
40	1.648971292	0.4275333333
41	1.645757746	0.4268
42	1.640408289	0.4288
43	1.637244268	0.4298
44	1.634503759	0.4315333333
45	1.632407411	0.4326666667
46	1.629815321	0.4330666667
47	1.62609887	0.4348666667
48	1.623543471	0.4368666667
49	1.620038147	0.4388
50	1.617807353	0.4392666667
51	1.615356078	0.4410666667
52	1.612672343	0.4421333333
53	1.610004323	0.4438
54	1.606638838	0.4444666667
55	1.603961682	0.4460666667
56	1.601834005	0.4468666667
57	1.599282143	0.4482
58	1.596416604	0.4482666667
59	1.594546838	0.4488
60	1.591803167	0.4501333333
61	1.589760916	0.4502
62	1.587524842	0.4516666667
63	1.586185453	0.4518
64	1.583869738	0.4526666667
65	1.581663483	0.4529333333
66	1.579544633	0.4538666667
67	1.577162383	0.455
68	1.574830337	0.4561333333
69	1.572145049	0.456
70	1.570335034	0.4561333333
71	1.568205162	0.457
72	1.566216653	0.4585333333
73	1.564902532	0.4585333333
74	1.562733146	0.4586666667
75	1.560559561	0.46
76	1.558711688	0.4622
77	1.556231145	0.4645333333
78	1.554999127	0.4645333333
79	1.553150243	0.4654666667
80	1.552315417	0.4660666667
81	1.551009242	0.4659333333
82	1.548927462	0.467
83	1.546945937	0.468
84	1.545536033	0.4682666667
85	1.544280581	0.4686666667
86	1.542652013	0.4686666667
87	1.540376663	0.4698666667
88	1.53868802	0.4706666667
89	1.537125752	0.4707333333
90	1.536092769	0.4712666667
91	1.533767426	0.4722
92	1.532669346	0.472
93	1.531121421	0.4724
94	1.529354366	0.4726666667
95	1.527795309	0.4736
96	1.526353282	0.4733333333
97	1.525546361	0.4736666667
98	1.524905123	0.4742
99	1.521995675	0.475
100	1.519743439	0.4765333333
101	1.51850175	0.4770666667
102	1.517253103	0.4772666667
103	1.515410146	0.4779333333
104	1.5144748	0.4787333333
105	1.512810093	0.4792666667
106	1.511159677	0.48
107	1.510202887	0.4804
108	1.507889897	0.4814
109	1.507244556	0.4818
110	1.504838676	0.4831333333
111	1.504126712	0.4832666667
112	1.50306855	0.4831333333
113	1.501070781	0.4853333333
114	1.500148466	0.4853333333
115	1.499075777	0.4852666667
116	1.498333386	0.485
117	1.497014382	0.4856
118	1.495714749	0.4861333333
119	1.493791916	0.4869333333
120	1.492161521	0.4883333333
121	1.490262998	0.4884666667
122	1.489364331	0.4889333333
123	1.48764424	0.4896
124	1.486133246	0.4890666667
125	1.485334447	0.4893333333
126	1.484081891	0.4901333333
127	1.483007226	0.4908666667
128	1.480172915	0.4912
129	1.478736155	0.4916
130	1.476917492	0.4912
131	1.47585896	0.4922
132	1.475211967	0.4929333333
133	1.474477273	0.4930666667
134	1.472529103	0.4931333333
135	1.471428934	0.4934666667
136	1.469642611	0.4942666667
137	1.469093999	0.4944666667
138	1.467553425	0.4943333333
139	1.466609528	0.4952666667
140	1.464469278	0.4965333333
141	1.463532199	0.4964
142	1.462809121	0.4972
143	1.461369392	0.4983333333
144	1.459693462	0.4995333333
145	1.458726165	0.4999333333
146	1.457954735	0.5003333333
147	1.457263482	0.5008
148	1.456191691	0.501
149	1.454293267	0.5013333333
150	1.453299158	0.5014
151	1.451754178	0.5016
152	1.449857117	0.503
153	1.447606135	0.5033333333
154	1.446112713	0.504
155	1.444275544	0.5051333333
156	1.442893413	0.5050666667
157	1.441276256	0.5065333333
158	1.440052295	0.5072666667
159	1.438487348	0.5078666667
160	1.436861358	0.5088
161	1.435474008	0.5088666667
162	1.433732704	0.5088666667
163	1.432089065	0.5095333333
164	1.430376442	0.5105333333
165	1.429023656	0.5113333333
166	1.427505014	0.5114666667
167	1.426286527	0.5127333333
168	1.424748066	0.5128666667
169	1.4234913	0.5128
170	1.422230006	0.5136
171	1.421223734	0.5144
172	1.420030717	0.5143333333
173	1.418256754	0.5154666667
174	1.416898913	0.5166
175	1.415103011	0.5174
176	1.414138801	0.5178
177	1.412994533	0.5180666667
178	1.411743642	0.5188
179	1.409980918	0.5198
180	1.409357081	0.52
181	1.408998948	0.5198666667
182	1.408406144	0.5200666667
183	1.407363893	0.5202666667
184	1.406271252	0.5207333333
185	1.404638774	0.5220666667
186	1.403201747	0.5224666667
187	1.402591354	0.5224666667
188	1.401187944	0.523
189	1.400019357	0.5226666667
190	1.399389608	0.5229333333
191	1.39802034	0.5234666667
192	1.396760281	0.5246
193	1.395800304	0.5243333333
194	1.393821268	0.5258
195	1.392365293	0.5268666667
196	1.391240268	0.5271333333
197	1.390124973	0.5272666667
198	1.388671693	0.5274
199	1.38772733	0.5273333333
200	1.385869834	0.5279333333
201	1.384862876	0.5292666667
202	1.38411716	0.5295333333
203	1.383274305	0.53
204	1.381960854	0.531
205	1.381537121	0.531
206	1.380596899	0.5306666667
207	1.379498679	0.5312666667
208	1.378283847	0.5318
209	1.3768878	0.5319333333
210	1.37565223	0.5323333333
211	1.374772626	0.5328
212	1.373724112	0.5328666667
213	1.372860779	0.5336666667
214	1.372020835	0.5339333333
215	1.370655212	0.5356666667
216	1.369672273	0.5358
217	1.368196922	0.5372
218	1.367457723	0.5372666667
219	1.366748432	0.5377333333
220	1.365269174	0.5376666667
221	1.364390686	0.5382666667
222	1.36374873	0.5383333333
223	1.362204574	0.5384666667
224	1.361358019	0.5388
225	1.360304363	0.539
226	1.359390519	0.5396
227	1.357895509	0.5402
228	1.356820571	0.5399333333
229	1.355751805	0.5405333333
230	1.355171611	0.541
231	1.354355572	0.5413333333
232	1.353146539	0.541
233	1.352217094	0.5415333333
234	1.350908886	0.542
235	1.35000643	0.5424
236	1.349114934	0.5424
237	1.348083075	0.5434
238	1.346942582	0.5438666667
239	1.346256731	0.5440666667
240	1.344882769	0.5442666667
241	1.343545932	0.545
242	1.342192842	0.5465333333
243	1.341381008	0.547
244	1.340225454	0.5473333333
245	1.339199774	0.5484666667
246	1.337815079	0.5485333333
247	1.337140283	0.549
248	1.336018147	0.5496666667
249	1.335547931	0.5498
250	1.334863009	0.55
251	1.33389694	0.5499333333
252	1.333261604	0.5503333333
253	1.332119964	0.5502
254	1.330802902	0.5511333333
255	1.329712232	0.5514666667
256	1.328807782	0.5517333333
257	1.328165801	0.5521333333
258	1.327194425	0.5519333333
259	1.326631632	0.5523333333
260	1.324990857	0.5536666667
261	1.323812493	0.5534666667
262	1.323221971	0.5541333333
263	1.322616633	0.5544
264	1.321702163	0.5548
265	1.321212061	0.5547333333
266	1.320015816	0.5554666667
267	1.319163017	0.5556666667
268	1.317903196	0.5570666667
269	1.316946293	0.5576666667
270	1.316248052	0.5578666667
271	1.315414898	0.5575333333
272	1.314328678	0.558
